,date,temperature_2m_max
346,2010-12-12 08:00:00+00:00,82.6718
347,2010-12-13 08:00:00+00:00,78.8918
348,2010-12-14 08:00:00+00:00,65.9318
349,2010-12-15 08:00:00+00:00,57.651802
350,2010-12-16 08:00:00+00:00,57.651802
351,2010-12-17 08:00:00+00:00,53.9618
352,2010-12-18 08:00:00+00:00,56.9318
353,2010-12-19 08:00:00+00:00,59.9918
354,2010-12-20 08:00:00+00:00,57.201797
355,2010-12-21 08:00:00+00:00,55.5818
356,2010-12-22 08:00:00+00:00,56.0318
357,2010-12-23 08:00:00+00:00,59.811802
358,2010-12-24 08:00:00+00:00,65.5718
359,2010-12-25 08:00:00+00:00,60.8018
360,2010-12-26 08:00:00+00:00,60.6218
361,2010-12-27 08:00:00+00:00,64.9418
362,2010-12-28 08:00:00+00:00,62.9618
363,2010-12-29 08:00:00+00:00,51.7118
364,2010-12-30 08:00:00+00:00,50.451797
365,2010-12-31 08:00:00+00:00,52.4318
366,2011-01-01 08:00:00+00:00,54.6818
367,2011-01-02 08:00:00+00:00,51.9818
368,2011-01-03 08:00:00+00:00,52.701797
369,2011-01-04 08:00:00+00:00,60.0818
370,2011-01-05 08:00:00+00:00,61.521797
371,2011-01-06 08:00:00+00:00,65.9318
372,2011-01-07 08:00:00+00:00,58.8218
373,2011-01-08 08:00:00+00:00,53.2418
374,2011-01-09 08:00:00+00:00,53.511803
375,2011-01-10 08:00:00+00:00,59.0918
376,2011-01-11 08:00:00+00:00,58.7318
377,2011-01-12 08:00:00+00:00,68.4518
378,2011-01-13 08:00:00+00:00,70.9718
379,2011-01-14 08:00:00+00:00,74.9318
380,2011-01-15 08:00:00+00:00,76.4618
381,2011-01-16 08:00:00+00:00,77.4518
382,2011-01-17 08:00:00+00:00,79.8818
383,2011-01-18 08:00:00+00:00,78.8918
384,2011-01-19 08:00:00+00:00,67.911804
385,2011-01-20 08:00:00+00:00,71.0618
386,2011-01-21 08:00:00+00:00,72.5018
387,2011-01-22 08:00:00+00:00,69.2618
388,2011-01-23 08:00:00+00:00,72.2318
389,2011-01-24 08:00:00+00:00,72.6818
390,2011-01-25 08:00:00+00:00,73.6718
391,2011-01-26 08:00:00+00:00,75.0218
392,2011-01-27 08:00:00+00:00,75.6518
393,2011-01-28 08:00:00+00:00,73.2218
394,2011-01-29 08:00:00+00:00,64.4918
395,2011-01-30 08:00:00+00:00,55.5818
396,2011-01-31 08:00:00+00:00,65.9318
397,2011-02-01 08:00:00+00:00,62.8718
398,2011-02-02 08:00:00+00:00,61.4318
399,2011-02-03 08:00:00+00:00,64.1318
400,2011-02-04 08:00:00+00:00,69.2618
401,2011-02-05 08:00:00+00:00,71.2418
402,2011-02-06 08:00:00+00:00,77.9918
403,2011-02-07 08:00:00+00:00,75.7418
404,2011-02-08 08:00:00+00:00,66.8318
405,2011-02-09 08:00:00+00:00,68.2718
406,2011-02-10 08:00:00+00:00,70.2518
407,2011-02-11 08:00:00+00:00,75.6518
408,2011-02-12 08:00:00+00:00,79.8818
409,2011-02-13 08:00:00+00:00,73.7618
410,2011-02-14 08:00:00+00:00,64.5818
411,2011-02-15 08:00:00+00:00,60.261803
412,2011-02-16 08:00:00+00:00,57.201797
413,2011-02-17 08:00:00+00:00,55.131798
414,2011-02-18 08:00:00+00:00,58.9118
415,2011-02-19 08:00:00+00:00,52.1618
416,2011-02-20 08:00:00+00:00,57.381798
417,2011-02-21 08:00:00+00:00,56.3018
418,2011-02-22 08:00:00+00:00,58.3718
419,2011-02-23 08:00:00+00:00,56.2118
420,2011-02-24 08:00:00+00:00,56.1218
421,2011-02-25 08:00:00+00:00,52.1618
422,2011-02-26 08:00:00+00:00,51.0818
423,2011-02-27 08:00:00+00:00,55.761803
424,2011-02-28 08:00:00+00:00,62.2418
425,2011-03-01 08:00:00+00:00,61.3418
426,2011-03-02 08:00:00+00:00,59.1818
427,2011-03-03 08:00:00+00:00,65.5718
428,2011-03-04 08:00:00+00:00,73.4918
429,2011-03-05 08:00:00+00:00,76.7318
430,2011-03-06 08:00:00+00:00,64.9418
431,2011-03-07 08:00:00+00:00,61.0718
432,2011-03-08 08:00:00+00:00,70.6118
433,2011-03-09 08:00:00+00:00,80.0618
434,2011-03-10 08:00:00+00:00,78.1718
435,2011-03-11 08:00:00+00:00,69.8918
436,2011-03-12 08:00:00+00:00,65.8418
437,2011-03-13 08:00:00+00:00,68.9018
438,2011-03-14 08:00:00+00:00,76.2818
439,2011-03-15 08:00:00+00:00,80.9618
440,2011-03-16 08:00:00+00:00,69.7118
441,2011-03-17 08:00:00+00:00,73.5818
442,2011-03-18 08:00:00+00:00,67.1918
443,2011-03-19 08:00:00+00:00,59.4518
444,2011-03-20 08:00:00+00:00,52.0718
445,2011-03-21 08:00:00+00:00,56.0318
446,2011-03-22 08:00:00+00:00,56.8418
447,2011-03-23 08:00:00+00:00,59.4518
448,2011-03-24 08:00:00+00:00,54.5018
449,2011-03-25 08:00:00+00:00,57.9218
450,2011-03-26 08:00:00+00:00,55.4918
451,2011-03-27 08:00:00+00:00,59.631798
452,2011-03-28 08:00:00+00:00,64.8518
453,2011-03-29 08:00:00+00:00,72.411804
454,2011-03-30 08:00:00+00:00,81.8618
455,2011-03-31 08:00:00+00:00,88.971794
